Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747498150,100,,Aggregated,45.000000,0.000000,130,140,390,390,400,590,670,710,830,900,900,1950,0,130.0,219.3919552046159,128.41876799984675,899.54845200009,11909.121538461539
1747498151,100,,Aggregated,45.300000,0.000000,130,140,390,390,400,590,670,710,830,900,900,1990,0,130.0,219.01148820804156,128.41876799984675,899.54845200009,11960.533668341708
1747498152,100,,Aggregated,44.500000,0.000000,130,140,390,390,400,580,670,710,800,900,900,2031,0,130.0,218.95650259330444,128.41876799984675,899.54845200009,12099.884785819793
1747498153,100,,Aggregated,45.400000,0.000000,130,140,390,390,400,580,670,710,800,900,900,2082,0,130.0,218.74987179250743,128.41876799984675,899.54845200009,12207.54995196926
1747498154,100,,Aggregated,44.800000,0.000000,130,140,390,390,400,580,670,710,800,900,900,2131,0,130.0,218.8722485678081,128.41876799984675,899.54845200009,12383.801501642421
1747498155,100,,Aggregated,46.400000,0.000000,130,140,390,390,400,580,670,710,800,900,900,2165,0,130.0,218.62362073440954,128.41876799984675,899.54845200009,12461.184295612009
1747498156,100,,Aggregated,45.200000,0.000000,130,140,390,390,400,570,670,710,800,900,900,2221,0,130.0,217.89253834398693,128.41876799984675,899.54845200009,12502.235029266096
1747498157,100,,Aggregated,44.900000,0.000000,130,140,390,390,400,550,670,710,800,900,900,2264,0,130.0,217.6702588767643,128.41876799984675,899.54845200009,12614.195229681978
1747498158,100,,Aggregated,45.900000,0.000000,130,140,390,390,400,530,670,710,800,900,900,2306,0,130.0,217.02362711491497,128.41876799984675,899.54845200009,12615.09236773634
1747498159,100,,Aggregated,46.000000,0.000000,130,140,390,390,400,530,670,710,800,900,900,2363,0,130.0,216.6001265370261,128.41876799984675,899.54845200009,12677.484130342784
1747498160,100,,Aggregated,45.100000,0.000000,130,140,390,390,400,530,670,710,800,900,900,2400,0,130.0,216.3287687191642,128.41876799984675,899.54845200009,12733.208333333334
1747498161,100,,Aggregated,45.300000,0.000000,130,140,390,390,400,530,670,710,800,900,900,2445,0,130.0,216.49511905194043,128.41876799984675,899.54845200009,12937.276073619632
1747498162,100,,Aggregated,45.700000,0.000000,130,140,390,390,400,520,670,710,800,900,900,2495,0,130.0,216.201897075749,128.41876799984675,899.54845200009,13003.05250501002
1747498163,100,,Aggregated,45.200000,0.000000,130,140,390,390,400,520,670,710,800,900,900,2540,0,130.0,215.6532914488169,128.41876799984675,899.54845200009,13013.779133858268
1747498164,100,,Aggregated,45.200000,0.000000,130,140,390,390,400,520,660,710,800,900,900,2584,0,130.0,215.57078015402266,128.41876799984675,899.54845200009,13108.468653250775
1747498165,100,,Aggregated,45.300000,0.000000,130,140,390,390,400,520,660,710,800,900,900,2638,0,130.0,215.40370685177953,128.41876799984675,899.54845200009,13229.705079605761
1747498166,100,,Aggregated,45.200000,0.000000,130,140,390,390,400,520,660,710,830,910,910,2679,0,130.0,215.24797987681757,128.41876799984675,912.9892240002846,13233.612541993281
1747498167,100,,Aggregated,46.500000,0.000000,130,140,390,390,400,520,650,710,830,910,910,2720,0,130.0,214.98825137977718,128.41876799984675,912.9892240002846,13288.590073529413
1747498168,100,,Aggregated,45.700000,0.000000,130,140,390,390,400,520,650,710,830,910,910,2765,0,130.0,215.13460954683325,128.41876799984675,912.9892240002846,13423.409403254973
1747498169,100,,Aggregated,45.300000,0.000000,130,140,390,390,400,520,650,710,830,910,910,2814,0,130.0,214.6234928340419,128.41876799984675,912.9892240002846,13389.364960909737
1747498170,100,,Aggregated,46.400000,0.000000,130,140,390,390,400,450,650,710,830,910,910,2857,0,130.0,214.1255483097641,128.41876799984675,912.9892240002846,13385.433671683584
1747498171,100,,Aggregated,45.600000,0.000000,130,140,390,390,400,520,650,710,830,910,910,2900,0,130.0,214.35490256413584,128.41876799984675,912.9892240002846,13479.517931034483
1747498172,100,,Aggregated,46.200000,0.000000,130,140,390,390,400,520,650,710,830,910,910,2945,0,130.0,214.87969415993004,128.41876799984675,912.9892240002846,13658.427504244482
1747498173,100,,Aggregated,44.600000,0.000000,130,140,390,390,400,490,650,710,830,910,910,2987,0,130.0,215.10243485537103,128.41876799984675,912.9892240002846,13823.60629394041
1747498174,100,,Aggregated,46.100000,0.000000,130,140,390,400,400,490,650,710,820,910,910,3033,0,130.0,215.53517927563317,128.41876799984675,912.9892240002846,14014.032970656117
1747498175,100,,Aggregated,44.500000,0.000000,130,140,390,400,400,490,650,710,820,910,910,3076,0,130.0,215.2467408920654,128.41876799984675,912.9892240002846,14028.721066319897
1747498176,100,,Aggregated,44.900000,0.000000,130,140,390,400,400,440,650,710,820,910,910,3126,0,130.0,215.03490101471303,128.41876799984675,912.9892240002846,14081.632117722329
1747498177,100,,Aggregated,44.200000,0.000000,130,140,390,400,400,440,650,710,820,910,910,3167,0,130.0,215.0535105948823,128.41876799984675,912.9892240002846,14196.445216293021
1747498178,100,,Aggregated,44.300000,0.000000,130,140,390,400,400,440,650,710,820,910,910,3218,0,130.0,215.2585189630183,128.41876799984675,912.9892240002846,14332.796146674953
1747498179,100,,Aggregated,44.800000,0.000000,130,140,390,400,400,440,650,710,820,910,910,3255,0,130.0,214.98813875698664,128.41876799984675,912.9892240002846,14349.800921658985
1747498180,100,,Aggregated,44.400000,0.000000,130,140,390,400,400,440,650,710,820,910,910,3300,0,130.0,215.06570347121027,128.41876799984675,912.9892240002846,14442.922424242424
1747498181,100,,Aggregated,44.500000,0.000000,130,140,390,400,400,440,650,710,830,910,910,3349,0,130.0,215.13193481486837,128.41876799984675,912.9892240002846,14517.296805016424
1747498182,100,,Aggregated,43.800000,0.000000,130,140,390,400,400,440,650,710,830,910,910,3397,0,130.0,215.2916284877817,128.41876799984675,912.9892240002846,14616.703856343833
1747498183,100,,Aggregated,45.000000,0.000000,130,140,390,400,400,440,650,710,900,910,910,3434,0,130.0,215.29974481857684,128.41876799984675,912.9892240002846,14653.810133954572
1747498184,100,,Aggregated,44.500000,0.000000,130,140,390,400,400,440,650,710,900,910,910,3479,0,130.0,215.6199829663676,128.41876799984675,912.9892240002846,14827.3512503593
1747498185,100,,Aggregated,45.400000,0.000000,130,140,390,400,400,440,650,710,900,910,910,3527,0,130.0,215.12049072327582,128.41876799984675,912.9892240002846,14775.020130422456
1747498186,100,,Aggregated,44.200000,0.000000,130,140,390,400,400,440,640,710,900,910,910,3568,0,130.0,215.04542914097317,128.41876799984675,912.9892240002846,14836.821468609865
1747498187,100,,Aggregated,45.600000,0.000000,130,140,390,400,400,440,640,710,900,910,910,3617,0,130.0,215.11673477467343,128.41876799984675,912.9892240002846,14927.332596074095
1747498188,100,,Aggregated,45.200000,0.000000,130,140,390,400,400,440,640,710,910,920,920,3659,0,130.0,215.71411698004803,128.41876799984675,921.1091880001732,15127.308007652364
